"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ARTIBUS ET HISTORIAE","0391-9064","","IRSA PUBLISHING HOUSE","PLAC MATEJKI 7-8, KRAKOW, POLAND, 31-157","","Art & Architecture"
"ART IN AMERICA","0004-3214","0004-3214","BRANT PUBL, INC","575 BROADWAY, NEW YORK, USA, NY, 10012","","Art & Architecture"
"ART JOURNAL","0004-3249","2325-5307","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","","Art & Architecture"
"ARTMARGINS","2162-2574","2162-2582","MIT PRESS","ONE ROGERS ST, CAMBRIDGE, USA, MA, 02142-1209","","Art & Architecture"
"ARTNEWS","0004-3273","2327-1221","ARTNEWS ASSOC","48 WEST 38TH STREET, NEW YORK, USA, NY, 10018","","Art & Architecture"
"ARTS OF ASIA","0004-4083","","ARTS ASIA PUBLICATIONS LTD","KOWLOON CENTER-SUITE 1309 29-39 ASHLEY RD, KOWLOON, HONG KONG,","","Art & Architecture"
"ASIAN ETHNOLOGY","1882-6865","1882-6865","NANZAN UNIV, NANZAN INST RELIGION & CULTURE","18 YAMAZATO-CHO SHOWA-KU, NAGOYA, JAPAN, 466","English","General"
"ASIAN MUSIC","0044-9202","1553-5630","UNIV TEXAS PRESS","JOURNAL DIV, 2100 COMAL, AUSTIN, USA, TX, 78722","","Performing Arts"
"ASIAN PERSPECTIVES-THE JOURNAL OF ARCHAEOLOGY FOR ASIA AND THE PACIFIC","0066-8435","1535-8283","UNIV HAWAII PRESS","2840 KOLOWALU ST, HONOLULU, USA, HI, 96822","","Archaeology"
"ASIAN PHILOSOPHY","0955-2367","1469-2961","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Philosophy"
"ASIAN STUDIES REVIEW","1035-7823","1467-8403","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","General"
"ASIAN THEATRE JOURNAL","0742-5457","1527-2109","UNIV HAWAII PRESS","2840 KOLOWALU ST, HONOLULU, USA, HI, 96822","","Performing Arts"
"ATALANTE-REVISTA DE ESTUDIOS CINEMATOGRAFICOS","1885-3730","2340-6992","ASOC CINEFORUM L ATALANTE","CALLE POETAS ANONIMOS, 10-8, VALENCIA, SPAIN, 46020","English, Spanish","Performing Arts"
"ATENE E ROMA-NUOVA SERIE SECONDA","0004-6493","2239-6306","CASA EDITRICE F LE MONNIER","MONDADORI EDUCATION SPA, VIALE M FANTI 53, FIRENZE, ITALY, 50137","","Classical Studies"
