"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACTA GEOLOGICA SLOVACA","1338-0044","1338-5674","UNIV KOMENSKEHO","MLYNSKA DOLINA B-1, BRATISLAVA, SLOVAKIA, 842 15","","Geology"
"ACTA GEOSCIENTIA SINICA","1006-3021","1006-3021","ED DEPT ACTA GEOSCIENTIA SINICA","NO 26 BAIWANZHUANG RD, BEIJING, PEOPLES R CHINA, 100037","","Geosciences, Multidisciplinary | Geology"
"ACTA HERPETOLOGICA","1827-9635","1827-9643","FIRENZE UNIV PRESS","JOURNALS DIVISION, BORGO ALBIZI, 28, FIRENZE, ITALY, 50122","English","Zoology"
"ACTA HYDROBIOLOGICA SINICA","1000-3207","","CHINESE ACAD SCIENCES","NO. 33 BEISIHUANXILU,  ZHONGGUANCUN, BEIJING, PEOPLES R CHINA, 100080","","Marine & Freshwater Biology"
"ACTA ICHTHYOLOGICA ET PISCATORIA","0137-1592","1734-1515","WYDAWNICTWO AKAD ROLNICZEJ W SZCZECINIE","KAZIMIERZA KROLEWICZA 4, SZCZECIN, POLAND, 71550","English","Zoology | Fisheries"
"ACTA LIMNOLOGICA BRASILIENSIA","2179-975X","2179-975X","FUNDACAO BIODIVERSITAS","RUA MARIA VAZ DE MELO, 71, BELO HORIZONTE, BRAZIL, MG, 31260-110","English","Limnology"
"ACTA MICROPALAEONTOLOGICA SINICA","1000-0674","","CHINESE ACAD SCIENCES","NO. 33 BEISIHUANXILU,  ZHONGGUANCUN, BEIJING, PEOPLES R CHINA, 100080","","Paleontology | Microbiology"
"ACTA MICROSCOPICA","0798-4545","2224-8927","COMITE INTERAMERICANO SOC MICROSCOPIA ELECTRONICA-CIASEM","CARRETERA PANAMERICANA KM 11, APARTADO POSTAL 20632, CARACAS, VENEZUELA, 1020-A","Spanish","Microscopy"
"ACTA MUSEI BRUKENTHAL","1842-2691","","MUZEUL NATL BRUKENTHAL","MUZEUL DE ISTORIE NATURALA, STR CETATII NR 1, SIBIU, ROMANIA, RO-550160","","Multidisciplinary Sciences"
"ACTA MUSEI MORAVIAE SCIENTIAE BIOLOGICAE","1211-8788","","MORAVSKE ZEMSKE MUZEUM","ZELNY TRH 6, BRNO, CZECH REPUBLIC, 659 37","","Biology"
"ACTA MUSEI MORAVIAE SCIENTIAE GEOLOGICAE","1211-8796","","MORAVSKE ZEMSKE MUZEUM","ZELNY TRH 6, BRNO, CZECH REPUBLIC, 659 37","","Geology"
"ACTA MUSEI REGINAEHRADECENSIS SERIES A SCIENTIAE NATURALES","0439-6812","","MUZEUM VYCHODNICH CECH","ELISCINO NABREZI, HRADEC KRALOVE, CZECH REPUBLIC, 465 500 01","","Biology"
"ACTA MUSEI SILESIAE-SCIENTIAE NATURALES","2336-3193","2336-3207","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Biology"
"ACTA NATURAE","2075-8251","2075-8251","RUSSIAN FEDERATION AGENCY SCIENCE & INNOVATION","NAUCHNY PARK MGU, VLAD 1, STROENIYE 75G, LENINSKIYE GORY, MOSCOW, RUSSIA, 119991","English","Cell Biology | Biochemistry & Molecular Biology"
"ACTA NATURALIA PANNONICA","1788-9413","","REGIOGRAFO INTEZET","REGIOGRAFO INTEZET, KOMLO, HUNGARY, 00000","","Multidisciplinary Sciences"
"ACTA OCEANOGRAFICA DEL PACIFICO","1010-4402","","INST OCEANOGRAFICO ARMADA ECUADOR","AV 25 DE JULIO VIA PUERTO MARITIMO, BASE NAVAL SUR, GUAYAQUIL, ECUADOR, 00000","","Oceanography"
"ACTA OCEANOLOGICA SINICA","0253-505X","1869-1099","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Oceanography"
"ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY","1146-609X","1873-6238","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","Multi-Language","Ecology"
"ACTA ORNITHOECOLOGICA","0233-2914","","M GOERNER","THYMIANWEG 25, JENA, GERMANY, D-07745","","Ornithology | Ecology"
"ACTA ORNITHOLOGICA","0001-6454","1734-8471","MUSEUM & INST ZOOLOGY","WILCZA 64, WARSAW, POLAND, PL-00-679","Multi-Language","Ornithology"
"ACTA PALAEOBOTANICA","0001-6594","2082-0259","W SZAFER INST BOTANY, POLISH ACAD SCIENCES","LUBICZ 46, KRAKOW, POLAND, 00000","English","Plant Sciences | Paleontology"
"ACTA PALAEONTOLOGICA POLONICA","0567-7920","1732-2421","INST PALEOBIOLOGII PAN","UL TWARDA 51/55, WARSAW, POLAND, 00-818","English","Paleontology"
"ACTA PALAEONTOLOGICA ROMANIAE","1842-371X","2248-3802","ACTA PALAEONTOLOGICA ROMANIAE","1ST KOGALNICEANU ST, CLUJ-NAPOCA, ROMANIA, 00000","","Paleontology"
"ACTA PALAEONTOLOGICA SINICA","0001-6616","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","","Paleontology"
"ACTA PARASITOLOGICA","1230-2821","1896-1851","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Parasitology"
"ACTA PARASITOLOGICA ET MEDICA ENTOMOLOGICA SINICA","1005-0507","1005-0507","ACTA PARASIT MED ENTOMOL SIN","EDITORIAL BOARD, 20 DONGDAJIE ST, FENGTAI D, BEIJING, PEOPLES R CHINA, 1000071","","Entomology"
"ACTA PHYTOPATHOLOGICA ET ENTOMOLOGICA HUNGARICA","0238-1249","1588-2691","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","","Entomology | Plant Sciences"
"ACTA PHYTOPATHOLOGICA SINICA","0412-0914","","CHINESE SOC PLANT PATHOLOGY","435 PLANT PROTECTION BLDG, CHINA AGRICULTURAL UNIV, BEIJING, PEOPLES R CHINA, 100094","","Plant Sciences"
"ACTA PHYTOPHYLACICA SINICA","","","CHINA INT BOOK TRADING CORP","35 CHEGONGZHUANG XILU, HAIDAN DISTRICT, PO BOX 399, BEIJING, PEOPLES R CHINA, 100044","","Plant Sciences"
"ACTA PHYTOTAXONOMICA ET GEOBOTANICA","1346-7565","2189-7042","JAPANESE SOC PLANT SYSTEMATICS, UNIV TOKYO, GRADUATE SCH","BOTANICAL GARDENS, 3-7-1 HAKUSAN, TOKYO, JAPAN, 00000","English","Plant Sciences"
"ACTA PROTOZOOLOGICA","0065-1583","1689-0027","JAGIELLONIAN UNIV, INST ENVIRONMENTAL SCIENCES","GRONOSTAJOWA 7, KRAKOW, POLAND, 30-387","English","Microbiology"
"ACTA RERUM NATURALIUM","1801-5972","2336-7113","MUZEUM VYSOCINY JIHLAVA","MASARYKOVO NAM 55, JIHLAVA, CZECH REPUBLIC, 586 01","","Multidisciplinary Sciences"
"ACTA SCIENTIAE VETERINARIAE","1678-0345","1679-9216","UNIV FED RIO GRANDE DO SUL","FAC VET, CAIXA POSTAL 15017, PORTO ALEGRE RS, BRAZIL, 91501-570","Portuguese","Veterinary Sciences"
"ACTA SCIENTIARUM-AGRONOMY","1807-8621","1807-8621","UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO","AV. COLOMBO, 5790, DIVISAO DE DIVULGACAO CIENTIFICA, MARINGA, BRAZIL, PR, 87020-900","English","Agronomy"
"ACTA SCIENTIARUM-ANIMAL SCIENCES","1807-8672","1807-8672","UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO","AV. COLOMBO, 5790, DIVISAO DE DIVULGACAO CIENTIFICA, MARINGA, BRAZIL, PR, 87020-900","English","Agriculture, Dairy & Animal Science"
"ACTA SCIENTIARUM-BIOLOGICAL SCIENCES","1679-9283","1807-863X","UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO","AV. COLOMBO, 5790, DIVISAO DE DIVULGACAO CIENTIFICA, MARINGA, BRAZIL, PR, 87020-900","English","Biology"
"ACTA SCIENTIARUM NATURALIUM UNIVERSITATIS PEKINENSIS","0479-8023","0479-8023","CHINA INT BOOK TRADING CORP","35 CHEGONGZHUANG XILU, HAIDAN DISTRICT, PO BOX 399, BEIJING, PEOPLES R CHINA, 100044","","Multidisciplinary Sciences"
"ACTA SCIENTIARUM NATURALIUM UNIVERSITATIS SUNYATSENI","0529-6579","","CHINA INT BOOK TRADING CORP","35 CHEGONGZHUANG XILU, HAIDAN DISTRICT, PO BOX 399, BEIJING, PEOPLES R CHINA, 100044","","Multidisciplinary Sciences"
"ACTA SEDIMENTOLOGICA SINICA","1000-0550","","SCIENCE PRESS","300 WEST CHESNUT ST, EPHRATA, USA, PA, 17522","","Geology"
"ACTA SILVATICA & LIGNARIA HUNGARICA","1786-691X","1787-064X","HUNGARIAN ACAD SCIENCES, FORESTRY COMMISSION","ASLH EDITORIAL OFFICE, ADY E U 5, SOPRON, HUNGARY, H-9400","English","Forestry"
"ACTA SOCIETATIS ZOOLOGICAE BOHEMICAE","1211-376X","1211-376X","CZECH ZOOLOGICAL SOC","VINICNA 7, PRAGUE, CZECH REPUBLIC, 00000","","Zoology"
